新诗书目


说明

1．本书目收录1920—2016年出版的全国（包括港台地区）新诗作品，共分三部分。第一部分为个人专集，第二部分为合著，第三部分为多人合集。

2．收录的诗集以初版本为主，初版本一时查不到的，则收录再版本。

3．专集按作者姓氏笔画排列，笔画相同的以起笔﹝一﹞﹝丨﹞﹝ノ﹞﹝丶﹞﹝乛﹞为序。合著按第一作者姓氏笔画为序排列。合集以编者、出版单位名称笔画为序排列。同一诗人专集以出版日期先后为序。





专集

外文

河边恋歌 A·M 上海诗创造社1931年版
苏醒的情思 王洪涛 百花文艺出版社1986年版

圣母像前 王独清 上海光华图书公司1926年版

死前 王独清 上海创造社1927年版

独清诗集 王独清 新宇宙书店1928年版

暗云 王独清 上海光明书局1931年版

锻炼 王独清 上海光华图书公司1932年版

零乱章 王独清 上海乐华图书公司1933年版

王独清诗歌代表作 王独清 亚东图书馆1935年版

中国新诗库·王独清卷 王独清 长江文艺出版社1988年版

童心 王统照 上海商务印书馆1925年版

良夜 王统照 上海商务印书馆1925年版

她的生活 王统照 上海文化生活出版社1934年版

夜行集 王统照 上海生活书店1936年版

横吹集 王统照 上海文化生活出版社1938年版

江南曲 王统照 上海文化生活出版社1940年版

荒漠甘泉 王家棫 台湾中央文物供应社1959年版

纪念 王家新 长江文艺出版社1985年版

游动悬崖 王家新 湖南文艺出版社1997年版

王家新的诗 王家新 人民文学出版社2001年版

未完成的诗 王家新 作家出版社2008年版

忠贞的心血 王家麟 台湾蓝天出版社1966年版

枇杷树 王家麟 台湾葡萄园诗社1966年版

北京的声音 王恩宇 天津人民出版社1978年版

心泉集 王恩宇 北京十月文艺出版社1986年版

昨天与今天 王振佳 山西人民出版社1978年版

北京的歌 王振荣 北京出版社1977年版

士兵与命运交响曲 王晋军 北岳文艺出版社1987年版

边防线上的歌声 王浩 陕西人民出版社1957年版

脚户哥 王浩 青海人民出版社1980年版

患病的太阳 王润华 台湾星座诗社1966年版

高潮 王润华 台湾星座诗社1970年版

南洋乡土集 王润华 时报文化出版公司1981年版

胡桃坡 王致远 作家出版社1965年版

长歌行 王致远 人民文学出版社1984年版

冰冷的歌 王逢吉 重庆出版社1941年版

谚语哲理诗 王陶宇 内蒙古教育出版社1984年版

王寅诗选 王寅 花城出版社2005年版

向旷野这边开一个窗子 王晨牧 湖南文艺出版社1986年版

起点 王梁 新文艺出版社1951年版

春雨 王清风 台湾北大书局1959年版

桃色三三曲 王皎我 上海大东书局1931年版

小路的足迹 王维洲 长江文艺出版社1983年版

天涯采英 王绶青 文化艺术出版社1985年版

抒情短诗集 王野 黑龙江人民出版社1985年版

绣花巾 王鸿 江苏人民出版社1955年版

运河边的歌 王鸿 上海文艺出版社1959年版

西梅朵合塘 王琰 中国青年出版社2016年版

伟大的母亲 王禄松 台湾改造出版社1960年版

海的吟草 王禄松 台湾明光出版社1961年版

归意集 王禄松 台湾明光出版社1962年版

彩色的画 王舒水 1980年自刊

春华集 王锐 台湾知行出版社1964年版

红缨 王群生 解放军文艺出版社1958年版

新兵之歌 王群生 作家出版社1965年版

火凤 王群生 人民文学出版社1976年版

圣女·战马·枪 王蓝 重庆红蓝出版社1942年版

七月，拒马河 王磊 河北人民出版社1957年版

马背上的歌 王磊 吉林人民出版社1973年版

大刀歌 王磊 内蒙古人民出版社1978年版

路啊，脚下的路 王燕生 湖南人民出版社1981年版

心花 王燕生 群众出版社1984年版

走向地平线 王燕生 重庆出版社1986年版

百子歌 王燮 长江文艺出版社1957年版

冬饮庐诗稿 王瀣 南京市通志馆1948年版

今天和明天 贝岭 漓江出版社1988年版

主题与变奏 贝岭 台北黎明文化事业股份有限公司1994年版

纸梯 车前子 上海人民出版社1989年版

孤鸾曲 邓中夏 四川文艺出版社1987年版

青山的恋歌 邓海南 宁夏人民出版社1979年版

机器与雕像 邓海南 上海文艺出版社1985年版

蓝色小夜曲 邓禽平 台北野风出版社1951年版

我存在，因为歌，因为爱 邓禽平 台北纯文学出版社1983年版

招魂 长庚 上海印刷所1935年版

行云之歌 韦云生 台湾青年写作协会1953年版

金凤凰 韦文俊 广西人民出版社1985年版

红花集 韦丘 广东人民出版社1959年版

万水千山总是情 韦丘 湖南人民出版社1985年版

迈出窗口 韦丘 新世纪出版社1987年版

粤北关山现代风 韦丘 花城出版社1994年版

韦丘作品选萃 韦丘 花城出版社1995年版

解不开的情结 韦丘 花城出版社1997年版

生命树 韦丘 中国文联出版社2000年版

君山 韦丛芜 北平未名社1927年版

冰块 韦丛芜 北平未名社1929年版

故乡和亲人 韦君宜 作家出版社1959年版

百鸟衣 韦其麟 中国青年出版社1956年版

凤凰歌 韦其麟 广西人民出版社1979年版

寻找太阳的母亲 韦其麟 广西民族出版社1984年版

故乡的月季 韦野 湖北人民出版社1981年版

有翅膀的歌声 风美村 台湾书评书目社1976年版

五画

通过封锁线 冬池 新文艺出版社1954年版

在红色的季节里 冬池 新文艺出版社1955年版

红纱灯 冯乃超 上海创造社出版部1928年版

倪善人 冯乃超 长风书店1928年版

中国新诗库·冯乃超卷 冯乃超 长江文艺出版社1988年版

水边 冯文炳 北平新民书店1944年版

抗战长歌 冯玉祥 汉口华中出版社1938年版

抗战诗歌集 冯玉祥 桂林三户书店1942年版

囚徒之歌 冯白鲁 杭州北新书局1936年版

昨日之歌 冯至 上海北新书局1927年版

北游及其他 冯至 沉钟社1929年版

十四行集 冯至 桂林明月社1942年版

西郊集 冯至 作家出版社1958年版

十年诗抄 冯至 人民文学出版社1959年版

立斜阳集 冯至 工人出版社1989年版

中国新诗库·冯至卷 冯至 长江文艺出版社1990年版

冯至全集（第一、二卷） 冯至 河北教育出版社1999年版

冯至短诗选 冯至 香港银河出版社2004年版

天河的水声 冯青 台北尔雅出版社1983年版

梦后 冯宪章 上海紫藤出版部1928年版

真实之歌 冯雪峰 重庆作家书屋1943年版

灵山歌 冯雪峰 上海作家书屋1946年版

雪峰的诗 冯雪峰 人民文学出版社1979年版

没落集 冯腾 汉口华中公司1938年版

苦难与欢乐 冯毅之 山东新华书店1950年版

热士清风 冯麟煌 花城出版社1987年版

爱在深秋 凸凹 四川文艺出版社1993年版

人在五行中 凸凹 辽宁民族出版社1998年版

镜 凸凹 云南民族出版社1999年版

桃花的隐约部分 凸凹 南海出版公司2004年版

虹 包玉堂 广西人民出版社1956年版

歌唱我们的民族 包玉堂 新文艺出版社1958年版

回音壁 包玉堂 人民文学出版社1984年版

春歌不歇 包玉堂 广西人民出版社1990年版

山花寄语 包玉堂 广西民族出版社1991年版

红水河畔三月三 包玉堂 漓江出版社1991年版

惨痛的世纪 包白痕 诗播种社1932年版

抱砖之歌 包白痕 昆仑诗社1992年版

蛾的追求 包白痕 昆仑诗社1994年版

北岛诗选 北岛 新世纪出版社1986年版

北岛诗集 北岛 台湾新地出版社1988年版

在天涯 北岛 香港牛津大学出版社1993年版

午夜歌手——北岛诗选（1972—1994） 北岛 台湾九歌出版社有限公司1995年版

零度以上的风景——北岛（1993—1996） 北岛 台湾九歌出版社有限公司1996年版

开锁——北岛（1996—1998） 北岛 台湾九歌出版社有限公司1999年版

2000文库——当代中国文库精读·北岛 北岛 香港明报月刊、明报出版社有限公司1999年版

北岛诗歌集 北岛 南海出版社2003年版

春雨 卢前 上海开明书店1927年版

绿篇 卢前 上海开明书店1930年版

露珠和星星 厉风 春风文艺出版社1981年版

收获集 古丁 台湾葡萄园诗社1963年版

星的故事 古丁 台湾长歌出版社1975年版

古丁诗集 古丁 秋如诗刊社1983年版

低能儿 古之红 1945年自刊

彷徨，彷徨 古之红 文艺青年社1948年版

湖滨 古之红 文艺奖金委员会1951年版

追随太阳步伐的人 古月 台湾葡萄园诗社1967年版

月之祭 古月 台湾艺术家画廊1975年版

火祭场 古贝 台湾蓝星诗社1963年版

剪裁 古添洪 台湾笠诗社1973年版

晚霞的超越 古添洪 台湾国家书店1977年版

背后的脸 古添洪 台湾笠诗社1984年版

归来 古添洪 台湾国家出版社1986年版

山笛 古笛 漓江出版社1982年版

向永恒的超越 史作柽 1964年自刊

失落的跃升 史作柽 1964年自刊

时间中的寻索 史作柽 台湾中国月刊社1972年版

世纪的苦索者 史作柽 1974年自刊

在我里面世界之中 史作柽 1975年自刊

白衣血泪 史轮 上海泰东书局1933年版

紫忱诗集 史紫忱 北平中国诗社1932年版

文学人 史紫忱 台湾星光出版社1978年版

山恋 叶文福 天津人民出版社1978年版

天鹅之死 叶文福 花城出版社1986年版

苦恋与墓碑 叶文福 广东人民出版社1986年版

月夜恋歌 叶日松 台湾绿穗杂志社1958年版

读星的人 叶日松 台湾野风出版社1964年版

